Own BIC	Correspondent	Service	R. Status		R. Validity	R. Start Date	R. End Date		R. Restr.	R. Trans.	S. Status	S. Validity	S. Start Date	S. End Date	S. Restr.
POBNSKBA	KTEFTRIS	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	LHBIDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	LJBASI2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	LOMBITRR	swift.fin	Enabled		Valid					Sent to Correspondent					
POBNSKBA	LUBASKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	LUMIILIT	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	MANEHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	MARKDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	MAVOHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	MGSTGB2L	swift.fin									Rejected	Invalid			
POBNSKBA	MKKBHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	MNBAMEPG	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	MPBLPKKA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	MPUBCZPP	swift.fin	Enabled		Valid										
POBNSKBA	NBPLPLPW	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	NBSBSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	NWBKGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	NXBKCNBH	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	OBKLAT2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	OKHBHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	OPSKATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	OTPVHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	OTPVROBU	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	OTPVSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PBANUA2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PBNKDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
